obs_id,true_value,meas_value,corr_value,diff(%)
5,  13.9212   6.53093 -0.795208  -1.16552,  13.7968   6.58316 -0.799579  -1.14184,  13.6003   6.48902 -0.798345  -1.14049, -2.30543 -0.641682  0.394457  -2.14754
6,  3.39179   1.67757  0.946999 -0.951825,  3.55675   1.36853  0.925132 -0.909251,3.50662 1.34864 0.92432 -0.9083, 3.38531 -19.6077 -2.39483 -4.57284
8, 8.49946  11.3632 0.705534 0.888365,  8.2685  11.3328 0.741955 0.874845, 8.15129  11.1721 0.741475 0.874328,-4.09632 -1.68182  5.09409 -1.58011
11, 17.5736   6.0391 0.767652 -1.02234, 17.4812  5.62245  0.74075 -1.02853,  17.233  5.54202 0.740561 -1.02732,-1.93837 -8.23095 -3.52907 0.487359
13, 6.27178   18.561 0.997106  1.19529,5.97945 18.0918  1.0191 1.19928,5.89491 17.8351 1.01827 1.19865,-6.00899 -3.91067  2.12266 0.281416
14,  2.59124   8.32097  0.812975 -0.866144,  2.38349    8.5171  0.772947 -0.858163,  2.34996    8.3956   0.77225 -0.857037,-9.31108 0.896899 -5.00939 -1.05146
15,  5.93606   18.3284 -0.624999 -0.719579,  6.36004   18.4799 -0.547935  -0.72871,  6.26935   18.2168 -0.547187 -0.727399,  5.61473 -0.608907  -12.4499   1.08674
17, 6.52493  18.2187 -1.14015 -1.15199, 6.11697  18.0961 -1.08169 -1.18662, 6.02948  17.8382 -1.08041 -1.18486,-7.59315 -2.08803 -5.23974  2.85309
19, 7.19421  13.7886  1.18179 -0.64807,  7.24716   14.2025   1.18803 -0.585677,  7.14469   14.0003   1.18707 -0.584644,-0.688464   1.53532  0.447257    -9.787
20,  4.56153   8.31594 -0.788974 -0.780877,  4.51331   8.51361 -0.787065 -0.856582,  4.44877   8.39216 -0.786136 -0.855457, -2.47206  0.916605 -0.359657   9.55091
21,  3.31926   4.49406 -0.659473 -0.991615,  3.13023   4.72604 -0.669071 -0.930977,  3.08541    4.6584 -0.668304 -0.929898,-7.04513  3.65702  1.33912 -6.22386
5,  13.8947   6.49207 -0.795208  -1.16552,  14.0567   6.29343 -0.877156  -1.15532,  13.9527   6.32726 -0.850798   -1.1504,0.417251 -2.53872  6.99058 -1.29711
6,  3.42336   1.64585  0.946999 -0.951825,  3.33805   1.45753   1.02907 -0.940764,  3.38115   1.42754  0.994108 -0.929916,-1.23288 -13.2642  4.97462 -2.30176
8, 8.52297  11.3928 0.705534 0.888365, 8.63413  11.7939 0.632178 0.864721,  8.5354  11.6665 0.668697  0.86802,0.145787  2.40198 -5.22115 -2.29019
11, 17.5992  6.00502 0.767652 -1.02234, 18.0123  6.19069  0.78562 -1.06751, 17.8502  6.04381 0.770717   -1.054, 1.42607 0.645908 0.399151  3.09627
13, 6.30502  18.6008 0.997106  1.19529,6.10301  18.469 1.00109 1.16401,6.06553 18.3412 1.00685 1.17566,-3.79836 -1.39553 0.977149 -1.64223
14,  2.61834    8.2921  0.812975 -0.866144,  2.79061   8.60567  0.906296 -0.854088,  2.70176   8.55439  0.861665 -0.855033, 3.18601  3.16308  5.98909 -1.28279
15,  5.91522   18.3044 -0.624999 -0.719579,  5.87694   18.7079 -0.615349 -0.641171,   5.9572   18.5973 -0.592681 -0.669841,0.709626  1.60043 -5.17091 -6.91208
17, 6.48693  18.1803 -1.14015 -1.15199, 6.30222  18.1546 -1.10081 -1.19186, 6.23581  18.0781 -1.09396 -1.18947, -3.87117 -0.561957  -4.05141   3.25299
19, 7.23361   13.767  1.18179 -0.64807,  7.37923   14.0999   1.25166 -0.710606,  7.33748    14.074   1.23015 -0.668584,1.43595 2.22967 4.09261 3.16534
20,  4.53523   8.28991 -0.788974 -0.780877,  4.52039   8.57486 -0.763454 -0.709481,  4.49942   8.52982 -0.771001 -0.758124,-0.789784   2.89396  -2.27791  -2.91376
21,  3.29727     4.461 -0.659473 -0.991615,  3.08275   4.45389 -0.659259  -1.02023,  3.07856   4.49097 -0.662272 -0.990136, -6.63331  0.671783  0.424462 -0.149136
5,  13.8682   6.45322 -0.795208  -1.16552,  13.7881   6.34497 -0.788994   -1.1984, 13.8188  6.33228 -0.81219 -1.18039,-0.356185  -1.87423   2.13554   1.27587
6,  3.45493   1.61412  0.946999 -0.951825, 3.02051  1.39801 0.901359 -0.99259,  3.10877   1.39755  0.936087 -0.969086,-10.0191  -13.417 -1.15219  1.81349
8, 8.54649  11.4224 0.705534 0.888365,   8.417   11.138 0.680568 0.890382, 8.44863  11.2633 0.676097 0.881919,-1.14506 -1.39316 -4.17231 -0.72565
11, 17.6248  5.97094 0.767652 -1.02234,  17.3531   6.31562  0.774256 -0.992769, 17.4706   6.2468 0.772856 -1.01569,-0.875257   4.61996  0.677914 -0.650849
13, 6.33826  18.6407 0.997106  1.19529,6.54248 18.7415 1.01147 1.23187, 6.4429 18.6605  1.0098 1.21084, 1.65089 0.106681  1.27286   1.3012
14,  2.64544   8.26323  0.812975 -0.866144,  2.76134   8.52926  0.806031 -0.870943,  2.75429   8.52847  0.826899 -0.864976,  4.11486   3.20989   1.71274 -0.134804
15,  5.89439   18.2804 -0.624999 -0.719579,  6.04975    18.462 -0.689065   -0.7679,  6.02433   18.4872 -0.652904 -0.731142,2.20439  1.1313 4.46483 1.60685
17, 6.44892  18.1419 -1.14015 -1.15199, 5.82935  17.8132 -1.07054 -1.09953, 5.91251   17.864 -1.07937 -1.13329,-8.31785 -1.53172 -5.33076 -1.62378
19,   7.273  13.7454  1.18179 -0.64807, 7.49621  13.8825   1.2234 -0.65823,  7.46975   13.9205   1.22595 -0.662136,2.70525 1.27398 3.73712 2.17039
20,  4.50894   8.26388 -0.788974 -0.780877,   4.4417   8.15761 -0.849169 -0.769696,  4.44873   8.23551 -0.819859 -0.765404, -1.33523 -0.343254   3.91467  -1.98138
21,  3.27529   4.42795 -0.659473 -0.991615,  3.12866   4.13448 -0.626914   -1.0184,  3.11252   4.20708 -0.640164  -1.00784,-4.96966 -4.98796 -2.92792  1.63646
5,  13.8417   6.41437 -0.795208  -1.16552,   13.792   6.19341 -0.757912  -1.07666,  13.792  6.21601 -0.77859 -1.11619,-0.358728  -3.09241  -2.08981  -4.23226
