obs_id,true_value,meas_value,corr_value,diff(%)
5,  13.9212   6.53093 -0.795208  -1.16552,  13.7814    6.6422 -0.829781  -1.19289,  13.5851    6.5472 -0.828518  -1.19149,-2.41454 0.249183  4.18877  2.22819
6,  3.39179   1.67757  0.946999 -0.951825,  3.79342   1.38224   1.00511 -0.909306,  3.73996   1.36216   1.00422 -0.908354, 10.2651 -18.8021   6.0425 -4.56715
8, 8.49946  11.3632 0.705534 0.888365, 8.51168  11.4137 0.704825 0.804808,   8.391  11.2518 0.704389 0.804363, -1.27605 -0.979994 -0.162306  -9.45578
11, 17.5736   6.0391 0.767652 -1.02234, 17.5263  5.64713 0.770788 -1.07929, 17.2774  5.56632 0.770571 -1.07803,-1.68548 -7.82852 0.380167  5.44754
13, 6.27178   18.561 0.997106  1.19529,5.55991 18.3241  1.0957 1.24523,5.48138 18.0642 1.09478 1.24457,-12.6025 -2.67644  9.79534   4.1226
14,  2.59124   8.32097  0.812975 -0.866144, 2.41384  8.25026 0.776236 -0.83905,  2.37989   8.13256  0.775536 -0.837951,-8.15637 -2.26429 -4.60511 -3.25493
15,  5.93606   18.3284 -0.624999 -0.719579,  6.14908   18.4941 -0.555241 -0.689332,  6.06139   18.2308 -0.554493  -0.68806,  2.11139 -0.532242   -11.281  -4.38022
17, 6.52493  18.2187 -1.14015 -1.15199, 6.17004    17.97 -1.10538 -1.14129, 6.08179   17.714 -1.10408 -1.13958, -6.7915 -2.76997 -3.16418 -1.07761
19, 7.19421  13.7886  1.18179 -0.64807,  7.28254    14.162   1.20177 -0.637953,  7.17956   13.9604    1.2008 -0.636869,-0.203654   1.24582   1.60874  -1.72837
20,  4.56153   8.31594 -0.788974 -0.780877,  4.27119   8.44093 -0.775629 -0.853794,   4.2101   8.32052 -0.774719 -0.852674, -7.70427 0.0550465   -1.8067   9.19454
21,  3.31926   4.49406 -0.659473 -0.991615,  3.05865   4.71794 -0.634642 -0.994234,  3.01487   4.65039 -0.633911 -0.993092,-9.17047  3.47863 -3.87608 0.148973
5,  13.8947   6.49207 -0.795208  -1.16552,  13.6317   6.49852 -0.816669  -1.15758,  13.6199   6.50001 -0.820611  -1.16889,-1.97793 0.122271  3.19446 0.289084
6,  3.42336   1.64585  0.946999 -0.951825,  3.56582   1.57612   1.03503 -0.974694,  3.59898   1.53706   1.02473 -0.952543,  5.13007  -6.60989   8.20865 0.0754776
8, 8.52297  11.3928 0.705534 0.888365, 8.86639  11.6498 0.648748 0.869083, 8.79424  11.5907 0.667357 0.847548, 3.18275  1.73726 -5.41112 -4.59463
11, 17.5992  6.00502 0.767652 -1.02234, 17.6538  6.40198 0.800902 -1.01548,  17.598  6.26313 0.790831 -1.03623,-0.00728292     4.29834     3.01943     1.35886
13, 6.30502  18.6008 0.997106  1.19529, 6.17254  18.6779 0.952713  1.12433, 6.0679 18.5864 1.00016 1.16449,  -3.76081 -0.0772032   0.306635   -2.57633
14,  2.61834    8.2921  0.812975 -0.866144,  2.42281   8.15801  0.815463 -0.907239,  2.42016   8.14937  0.802152 -0.884129,-7.56876 -1.72129  -1.3313  2.07641
15,  5.91522   18.3044 -0.624999 -0.719579,  6.02343   18.5273 -0.676877 -0.696423,  6.02631   18.4764 -0.636071 -0.693596, 1.87797 0.939545  1.77154 -3.61093
17, 6.48693  18.1803 -1.14015 -1.15199, 6.29388  18.2481 -1.12128 -1.20733, 6.25416  18.1568 -1.11551 -1.18467, -3.58819 -0.129138  -2.16134   2.83618
19, 7.23361   13.767  1.18179 -0.64807, 7.30406  14.1312  1.17304 -0.63703,  7.29054   14.1006   1.18231 -0.636953, 0.787048    2.4229 0.0440912  -1.71552
20,  4.53523   8.28991 -0.788974 -0.780877,  4.36401   8.37814 -0.777715 -0.771326,  4.33535   8.36457 -0.776694 -0.798441,-4.40742 0.900605 -1.55643  2.24928
21,  3.29727     4.461 -0.659473 -0.991615,  3.26831   4.43226 -0.654004 -0.998307,  3.22449   4.46175 -0.647271 -0.996591, -2.20729 0.0167283  -1.85031  0.501817
5,  13.8682   6.45322 -0.795208  -1.16552,  13.6159   6.32405 -0.791174  -1.15849, 13.6119  6.34817 -0.80221  -1.1624, -1.84845  -1.62797  0.880546 -0.267339
6,  3.45493   1.61412  0.946999 -0.951825,  3.4166  1.58064 0.979274 -1.00341,  3.45461    1.5673  0.996297 -0.984328,-0.00921261     -2.9007     5.20574     3.41482
