obs_id,true_value,meas_value,corr_value,diff(%)
5,  13.9212   6.53093 -0.795208  -1.16552,  13.7405   6.72919 -0.822191  -1.12419,  13.5448   6.63298 -0.820936  -1.12285,-2.70399  1.56268  3.23539 -3.66078
6,  3.39179   1.67757  0.946999 -0.951825,  3.76403   1.41259  0.934744 -0.937064,  3.71096   1.39206  0.933929 -0.936083, 9.40985 -17.0196 -1.38014 -1.65388
8, 8.49946  11.3632 0.705534 0.888365, 8.53741  11.4398 0.713495 0.859624, 8.41637  11.2775 0.713051 0.859126,-0.977601 -0.754064   1.06543  -3.29133
11, 17.5736   6.0391 0.767652 -1.02234,   17.524   5.81001  0.746434 -0.962671,  17.2752   5.72695  0.746241 -0.961526,-1.69851 -5.16876 -2.78924 -5.94864
13, 6.27178   18.561 0.997106  1.19529,5.91297 18.5334 1.04459 1.23208,5.82939 18.2705 1.04374 1.23144,-7.05369 -1.56505  4.67653  3.02441
14,  2.59124   8.32097  0.812975 -0.866144,  2.35992   8.40972  0.767754 -0.847409,  2.32673   8.28975  0.767062 -0.846297, -10.2077 -0.375225  -5.64754  -2.29136
15,  5.93606   18.3284 -0.624999 -0.719579,  6.06386   18.4997 -0.644123 -0.698508,  5.97734   18.2364 -0.643288 -0.697227,0.695456 -0.50197  2.92631 -3.10633
17, 6.52493  18.2187 -1.14015 -1.15199,  5.9977  18.0628 -1.10895 -1.19762,  5.9119  17.8054 -1.10765 -1.19586,-9.39516 -2.26822 -2.85094  3.80738
19, 7.19421  13.7886  1.18179 -0.64807,   6.9705    14.216   1.18469 -0.614201,  6.87196   14.0136   1.18372 -0.613139,-4.47939  1.63193 0.164008 -5.39001
20,  4.56153   8.31594 -0.788974 -0.780877,  4.29865    8.4857 -0.799862 -0.887148,  4.23716   8.36463 -0.798928 -0.885994,-7.11114 0.585535  1.26166  13.4615
21,  3.31926   4.49406 -0.659473 -0.991615,  3.09835   4.71448 -0.689537 -0.973627,  3.05397   4.64699  -0.68875 -0.972505,-7.99235  3.40295  4.43948 -1.92711
5,  13.8947   6.49207 -0.795208  -1.16552,  13.7542    6.4795 -0.842504  -1.16724,  13.7033   6.50434 -0.835274  -1.15245,-1.37784  0.18886  5.03842 -1.12099
6,  3.42336   1.64585  0.946999 -0.951825, 3.35097  1.76625   1.0053 -1.03289, 3.43521  1.67888 0.981439 -1.00055,0.346085  2.00728  3.63683  5.11877
8, 8.52297  11.3928 0.705534 0.888365, 8.66398  11.5948 0.617144 0.839494, 8.61564  11.5327  0.64916 0.846087,  1.0872  1.22805 -7.99022 -4.75914
11, 17.5992  6.00502 0.767652 -1.02234,  17.7705   6.31687  0.782012 -0.977328,  17.6695   6.18314   0.77016 -0.971959,0.399238  2.96625 0.326677 -4.92819
13, 6.30502  18.6008 0.997106  1.19529,6.26556 18.3813 1.05537 1.10058,6.17932  18.366 1.05156 1.14423,-1.99368 -1.26249  5.46083 -4.27173
14,  2.61834    8.2921  0.812975 -0.866144,  2.47481   8.54866  0.862171 -0.860075,   2.4487   8.48691  0.830477 -0.855435,-6.47862  2.34935  2.15284 -1.23642
15,  5.91522   18.3044 -0.624999 -0.719579,  6.05881   18.5982 -0.654076 -0.656065,  6.03666   18.5155 -0.650462 -0.669728, 2.05295  1.15351  4.07412 -6.92782
17, 6.48693  18.1803 -1.14015 -1.15199, 6.36944   18.478 -1.08131 -1.17579, 6.26322   18.325 -1.09001 -1.18237,-3.44852 0.795892 -4.39762  2.63663
19, 7.23361   13.767  1.18179 -0.64807,7.32643 14.2831 1.23331 -0.6641,  7.23735   14.2207   1.21684 -0.647061,0.0516876   3.29525   2.96641 -0.155838
20,  4.53523   8.28991 -0.788974 -0.780877,  4.21147   8.47031 -0.856144 -0.795213,  4.21113   8.44147 -0.837065 -0.825462,-7.14643  1.82822  6.09546  5.70972
21,  3.29727     4.461 -0.659473 -0.991615,  3.43425   4.42799 -0.601903 -0.972298,  3.34779   4.46809 -0.630797 -0.972397, 1.53192 0.158935 -4.34831 -1.93804
5,  13.8682   6.45322 -0.795208  -1.16552,  13.4648   6.46096 -0.793304  -1.18386,  13.5122   6.46201 -0.809073  -1.17208,-2.56717 0.136152  1.74351 0.562846
6,  3.45493   1.61412  0.946999 -0.951825,  3.36494   1.30819  0.959412 -0.978063,  3.38802   1.38401  0.967658 -0.986541,-1.93646 -14.2559  2.18162  3.64734
8, 8.54649  11.4224 0.705534 0.888365, 8.19338   11.048 0.685435 0.884576, 8.29317  11.1633  0.67177 0.870071,-2.96409 -2.26887 -4.78559 -2.05931
11, 17.6248  5.97094 0.767652 -1.02234, 17.1954  6.15949 0.831684 -1.05781, 17.3078  6.15734 0.808543 -1.02562,-1.79862  3.12186  5.32665 0.320265
13, 6.33826  18.6407 0.997106  1.19529,6.36543 18.7446 1.06849  1.2279,6.33153 18.6683 1.06216 1.19657,-0.106107  0.148469   6.52418  0.107213
14,  2.64544   8.26323  0.812975 -0.866144,  2.83904   8.54909  0.786383 -0.876133,  2.75749   8.52867  0.802969 -0.868358, 4.23573  3.21233 -1.23075 0.255652
15,  5.89439   18.2804 -0.624999 -0.719579,  6.02264   18.4646  -0.69376 -0.809733,  6.02083   18.4707 -0.677521 -0.757233,2.14501 1.04115 8.40364  5.2327
17, 6.44892  18.1419 -1.14015 -1.15199, 6.01552   17.857 -1.08564 -1.14517, 6.06301  17.9534 -1.08731 -1.15918, -5.9842   -1.039 -4.63494 0.623586
19,   7.273  13.7454  1.18179 -0.64807, 7.39306  13.9767  1.24584 -0.62203,  7.36725   14.0267   1.23498 -0.631447,1.29588 2.04658 4.50143  -2.565
20,  4.50894   8.26388 -0.788974 -0.780877,  4.45811   8.20741  -0.75047 -0.799793,  4.39654   8.25386 -0.782907 -0.809448, -2.49271 -0.121231 -0.768933   3.65891
21,  3.27529   4.42795 -0.659473 -0.991615,  3.15046   4.05862 -0.655237  -0.96699,  3.19001   4.14333 -0.646096  -0.96907,-2.60382 -6.42776 -2.02839 -2.27354
5,  13.8417   6.41437 -0.795208  -1.16552,  13.7736   6.16912 -0.706162  -1.14702,  13.7089   6.22631 -0.745329   -1.1566,-0.959414  -2.93189  -6.27252 -0.765299
6,  3.48649   1.58239  0.946999 -0.951825, 3.44097  1.51582 0.916349 -0.89798,  3.43621   1.47892  0.935898 -0.931696, -1.4422 -6.53887 -1.17215 -2.11474
8, 8.57001   11.452 0.705534 0.888365, 8.54275  11.4814 0.701913  0.86111, 8.49166  11.4163 0.690459 0.864562,-0.914169 -0.312142  -2.13665   -2.6795
11, 17.6504  5.93686 0.767652 -1.02234, 17.4235  5.98146 0.752699 -1.03965, 17.4034  6.01333 0.773985 -1.03432,-1.39958  1.28808 0.824896  1.17179
13, 6.37149  18.6805 0.997106  1.19529, 5.9767 19.1604 1.02257 1.23099,6.06447 19.0587  1.0376 1.21793,-4.81865  2.02461  4.06092  1.89459
14,  2.67253   8.23436  0.812975 -0.866144, 2.40656  7.95185 0.826612 -0.82056,  2.49163   8.07528  0.817556 -0.838841,-6.76901 -1.93188 0.563483 -3.15225
15,  5.87356   18.2564 -0.624999 -0.719579,  6.00961   18.0801 -0.711808 -0.784931,  6.00698   18.1623 -0.698745 -0.774427, 2.27163 -0.51565  11.7994  7.62224
17, 6.41092  18.1035 -1.14015 -1.15199, 6.10786  18.3485 -1.17891 -1.14675, 6.08942  18.2509   -1.144 -1.15143,   -5.0148   0.814462    0.33761 -0.0491016
19, 7.31239  13.7238  1.18179 -0.64807,  7.36499   13.7457   1.17902 -0.710195,  7.37465   13.8041   1.20034 -0.680229,0.851427 0.584999  1.56962  4.96227
20,  4.48264   8.23785 -0.788974 -0.780877,  4.44913   8.16127 -0.764857 -0.819608,  4.43145   8.17602 -0.771723 -0.815746, -1.14183 -0.750566  -2.18645   4.46547
21,  3.25331   4.39489 -0.659473 -0.991615,  3.17916   4.35654 -0.672114   -1.0136,   3.1767   4.30119 -0.662201 -0.996601,-2.35471 -2.13219 0.413698 0.502815
5,  13.8152   6.37552 -0.795208  -1.16552,   13.511   6.48107 -0.758265  -1.11833,  13.5499    6.4151 -0.753348   -1.1329, -1.9201 0.620817 -5.26406 -2.79839
6,  3.51806   1.55066  0.946999 -0.951825,  3.73506    1.4092   0.88316 -0.968859,   3.6747   1.41783  0.903331 -0.954675, 4.45239  -8.5661 -4.61114 0.299387
7, 5.77212  19.1063 -1.09047 -1.13779, 5.81685  18.8084 -1.04774 -1.11264, 5.73365  18.5405 -1.04651 -1.11093,-0.666451  -2.96171  -4.03121  -2.36061
8, 8.59353  11.4816 0.705534 0.888365, 8.73358  11.3252 0.654117 0.901192, 8.68423  11.3523 0.668022  0.88719,  1.05544  -1.12664   -5.3169 -0.132311
11,  17.676  5.90278 0.767652 -1.02234, 17.9039  6.05987 0.816021 -1.10996, 17.7971  6.04149 0.800032 -1.08107,0.685139  2.34977  4.21804  5.74433
13, 6.40473  18.7203 0.997106  1.19529, 6.44662  18.6817 0.982705  1.20956,6.36827 18.7757 1.00371  1.2127,-0.56937 0.295705 0.662204  1.45683
14,  2.69963   8.20549  0.812975 -0.866144,  2.68149   7.98613  0.821106 -0.861972,  2.64488   7.99986  0.819772 -0.853148,-2.02807 -2.50598 0.836038 -1.50041
15,  5.85272   18.2324 -0.624999 -0.719579,  5.69533   18.1691 -0.618241 -0.803401,  5.76041   18.1617 -0.649016 -0.792334, -1.57734 -0.387957   3.84283   10.1107
17, 6.37291  18.0651 -1.14015 -1.15199, 6.33016  18.1616 -1.11225 -1.19833, 6.26744   18.173 -1.12434 -1.18043,-1.65504 0.597363 -1.38697   2.4685
19, 7.35179  13.7022  1.18179 -0.64807,  7.56605   13.5958   1.10799 -0.659394,  7.53178   13.6377   1.14327 -0.667373,  2.44834 -0.471012  -3.25911   2.97853
20,  4.45634   8.21182 -0.788974 -0.780877,  4.31106   8.11605 -0.731139 -0.831581,  4.33245    8.1234 -0.746647 -0.825539,-2.78005 -1.07677 -5.36477  5.71952
21,  3.23133   4.36184 -0.659473 -0.991615,  2.93266   4.52383 -0.645553 -0.995379,  2.98266   4.46623 -0.651938 -0.995813,-7.69536  2.39324 -1.14253 0.423315
5,  13.7887   6.33667 -0.795208  -1.16552, 13.5643  6.37347 -0.76489 -1.16554,  13.5554   6.37428 -0.760476  -1.15308,-1.69187 0.593492 -4.36764 -1.06775
6,  3.54963   1.51894  0.946999 -0.951825,  3.48663   1.70512  0.889859 -0.918083,  3.53573   1.63334  0.894976 -0.932018,-0.391605    7.5321  -5.49338  -2.08097
7, 5.73577  19.0684 -1.09047 -1.13779, 5.70214  19.0961 -1.17553 -1.13029,  5.7011  18.9687 -1.13251 -1.12374,-0.604459 -0.523019     3.855  -1.23531
8, 8.61704  11.5113 0.705534 0.888365, 8.68907   11.665 0.657334 0.869272, 8.69297  11.6012 0.661414 0.876152,0.881101 0.781198 -6.25346 -1.37481
11, 17.7016  5.86871 0.767652 -1.02234,17.9683 5.79069 0.82028 -1.0478, 17.9358  5.83911 0.812565 -1.06053,  1.32311 -0.504364   5.85068   3.73574
13, 6.43797  18.7602 0.997106  1.19529, 6.35597  18.7717 0.941193   1.2113, 6.36615  18.7817 0.965065  1.21183,-1.11559 0.114765 -3.21347  1.38372
14,  2.72673   8.17661  0.812975 -0.866144,  2.76592   8.44455  0.836296 -0.858692,  2.74485   8.33801  0.829997 -0.856513,0.664472  1.97392  2.09381  -1.1119
15,  5.83189   18.2084 -0.624999 -0.719579,  5.68141   18.2678 -0.659231 -0.698785,   5.6943   18.2381 -0.655337 -0.734498,-2.35924 0.163128  4.85412  2.07332
17, 6.33491  18.0267 -1.14015 -1.15199, 6.41209  17.9017 -1.16738 -1.19069,   6.371  17.9539 -1.15092  -1.1868, 0.569752 -0.403591  0.944345   3.02171
19, 7.39118  13.6806  1.18179 -0.64807,   7.7162     13.92   1.12372 -0.639056,  7.68322   13.8515    1.1312 -0.649832, 3.95124  1.24909 -4.28019 0.271834
20,  4.43004   8.18579 -0.788974 -0.780877,  4.41592   7.97198 -0.727221  -0.78533,  4.39156   7.99995 -0.734627 -0.800704,-0.868589  -2.27025  -6.88831   2.53908
21,  3.20934   4.32879 -0.659473 -0.991615,  2.88503   4.08115 -0.636894 -0.945539,  2.90215   4.16047  -0.64265 -0.964786,-9.57203  -3.8883 -2.55099 -2.70557
5,  13.7622   6.29782 -0.795208  -1.16552,  13.4074    6.1138 -0.770124  -1.15775,   13.435   6.16378 -0.766455  -1.15599, -2.37725  -2.12832  -3.61583 -0.817278
6,  3.58119   1.48721  0.946999 -0.951825,  3.32801    1.5128  0.848315 -0.939937,   3.3814   1.53293  0.866108 -0.936924,-5.57896  3.07406 -8.54184 -1.56553
7, 5.69942  19.0305 -1.09047 -1.13779, 5.51918  19.1134  -1.0485 -1.11518, 5.55174  19.0725 -1.08002 -1.11836, -2.59123  0.220768 -0.958085  -1.70784
8, 8.64056  11.5409 0.705534 0.888365, 8.60179  11.9868 0.730159 0.897641, 8.62741  11.9066 0.703886 0.889479, -0.15217   3.16901 -0.233592  0.125353
11, 17.7272  5.83463 0.767652 -1.02234, 18.2006  5.68197 0.770386 -1.07451,  18.147  5.70936 0.786528 -1.06918, 2.36839 -2.14693  2.45886  4.58194
13, 6.47121     18.8 0.997106  1.19529,6.76547 18.4456  1.0045 1.23553, 6.68288  18.5304 0.989483  1.22643,  3.27105  -1.43412 -0.764556     2.605
14,  2.75383   8.14774  0.812975 -0.866144,  2.69605   7.95025  0.821184 -0.843497,  2.71325   8.03115   0.82454 -0.848515,-1.47372 -1.43099  1.42258 -2.03529
15,  5.81106   18.1844 -0.624999 -0.719579,   5.4252   18.3055 -0.617312 -0.652989,  5.48095    18.285 -0.631868 -0.684111,-5.68075 0.552734  1.09912 -4.92906
17,  6.2969  17.9883 -1.14015 -1.15199, 6.00927  18.5871 -1.10783 -1.10078, 6.08216  18.4358 -1.12433 -1.13355,-3.41031  2.48781  -1.3878 -1.60074
19, 7.43057   13.659  1.18179 -0.64807,  7.52628   13.8165   1.13165 -0.649894,   7.5701   13.8195   1.13145 -0.649872,  1.8778  1.17518 -4.25904 0.277968
20,  4.40374   8.15976 -0.788974 -0.780877,  3.96717   8.43018 -0.823519 -0.822701,  4.05704   8.32726 -0.789617  -0.81424, -7.87291   2.05274 0.0815304   4.27251
21,  3.18736   4.29573 -0.659473 -0.991615,  2.90993   4.11278 -0.656558 -0.965334,  2.90333   4.11628 -0.651242 -0.965127, -8.9112 -4.17749 -1.24812 -2.67123
5,  13.7357   6.25897 -0.795208  -1.16552,  13.8166   5.99781 -0.823452  -1.11807,  13.7248   6.02658 -0.801628  -1.13257,-0.079123  -3.71293  0.807353  -2.82678
6,  3.61276   1.45548  0.946999 -0.951825, 3.46996  1.59332 0.832267 -0.94587,  3.45645   1.57268  0.845201 -0.942441, -4.32655   8.05199  -10.7495 -0.985887
7, 5.66307  18.9926 -1.09047 -1.13779, 5.60342  19.1389 -1.11505 -1.11809, 5.58361  19.1156 -1.10169 -1.11818,-1.40313 0.647678  1.02908 -1.72393
8, 8.66408  11.5705 0.705534 0.888365, 8.96696  11.6089 0.756628 0.775293,  8.8959  11.6824 0.736523 0.818866, 2.67559 0.966987  4.39225 -7.82327
11, 17.7528  5.80055 0.767652 -1.02234, 17.7015  5.56929 0.692294 -1.04642, 17.8075  5.59284 0.728227 -1.05513,0.308287 -3.58079 -5.13579  3.20732
13, 6.50444  18.8399 0.997106  1.19529,6.13963 19.0916 1.03657 1.13694,6.26946 18.9743 1.01851 1.17119,-3.61267 0.713307  2.14633 -2.01616
14,  2.78093   8.11887  0.812975 -0.866144,  2.97449   8.13102  0.855053 -0.854142,  2.92192   8.10216  0.843428 -0.851977,  5.06983 -0.205867   3.74595  -1.63568
15,  5.79022   18.1605 -0.624999 -0.719579,  5.66427   18.2419 -0.611095 -0.673191,  5.61829   18.2465 -0.619003 -0.677364,  -2.9693  0.473611 -0.959322  -5.86658
17,  6.2589  17.9499 -1.14015 -1.15199, 6.33141  17.8049 -1.09017 -1.12927, 6.26692  17.9385 -1.10318 -1.13098,  0.128213 -0.0634053   -3.24253   -1.82397
19, 7.46997  13.6374  1.18179 -0.64807,  7.48349   13.9633   1.17246 -0.586775,  7.51157   13.9262   1.15678 -0.610854,0.556893  2.11768 -2.11613 -5.74261
20,  4.37744   8.13373 -0.788974 -0.780877,  4.55839   7.93734 -0.689144 -0.825425,  4.43978     8.019 -0.727453 -0.821199, 1.42405  -1.4106 -7.79753  5.16379
21,  3.16538   4.26268 -0.659473 -0.991615,   3.0776   4.07854 -0.637226  -1.04493,   3.0335   4.07964 -0.642554  -1.01445,-4.16618 -4.29406 -2.56549  2.30268
5,  13.7092   6.22012 -0.795208  -1.16552,   13.917   6.15913 -0.814378  -1.08486,  13.8677   6.12088 -0.809479  -1.10306, 1.15665 -1.59545  1.79466 -5.35887
6,  3.64433   1.42375  0.946999 -0.951825,  3.48424   1.51451   0.98892 -0.962183,  3.48461    1.5205  0.934024 -0.954646,-4.38264  6.79497  -1.3701 0.296331
7, 5.62672  18.9546 -1.09047 -1.13779, 5.60025  18.5777 -1.06783 -1.14544,  5.5883  18.6903 -1.08075  -1.1351,  -0.6828  -1.39452 -0.891094 -0.237016
8,  8.6876  11.6001 0.705534 0.888365, 8.76303  11.4652 0.691319 0.918573, 8.79839  11.5205 0.708565 0.880457,  1.27525 -0.686418  0.429623 -0.890273
11, 17.7784  5.76647 0.767652 -1.02234, 18.1189  5.56694 0.858832 -1.00936, 18.0545  5.56494 0.808982 -1.02684, 1.55323 -3.49492  5.38394 0.440472
13, 6.53768  18.8797 0.997106  1.19529, 7.02946   18.752 0.964344  1.15904, 6.86589  18.8108 0.985127  1.16365,  5.02027 -0.365059  -1.20146  -2.64692
14,  2.80803      8.09  0.812975 -0.866144,   2.9566   8.14177  0.796178 -0.830014,  2.95503    8.1265  0.814227 -0.838394, 5.23488 0.451174 0.154016 -3.20381
15,  5.76939   18.1365 -0.624999 -0.719579,  5.43805    17.985 -0.616108 -0.839846,  5.47399   18.0385 -0.617235 -0.777814,-5.12006 -0.54024 -1.24225  8.09297
17, 6.22089  17.9115 -1.14015 -1.15199, 6.25496  17.5765  -1.1343 -1.08546, 6.24931  17.6496 -1.12241 -1.10289,0.456824 -1.46178 -1.55588 -4.26282
19, 7.50936  13.6158  1.18179 -0.64807,  7.53206   13.8974   1.17432 -0.588938, 7.53616  13.8993  1.16762 -0.59731,0.356954  2.08227   -1.199 -7.83251
20,  4.35114    8.1077 -0.788974 -0.780877,  4.49904   7.95728 -0.760477 -0.799589,  4.48017   7.96505 -0.747852 -0.807848, 2.96549 -1.75946 -5.21202  3.45399
21,   3.1434   4.22962 -0.659473 -0.991615,  3.05414   4.07905 -0.715381 -0.967694,  3.04453   4.07166 -0.687558 -0.985548,  -3.1451  -3.73471   4.25879 -0.611804
5,  13.6826   6.18127 -0.795208  -1.16552,  13.8178   6.15322 -0.884908  -1.19927, 13.8228  6.13747  -0.8561 -1.16251,  1.02461 -0.708506   7.65736 -0.257909
6,  3.67589   1.39203  0.946999 -0.951825,  3.76933   1.27616  0.996557 -0.956772,  3.71236     1.324  0.972704 -0.955987, 0.99206 -4.88678  2.71445 0.437273
7, 5.59038  18.9167 -1.09047 -1.13779,  5.38349   19.1064 -0.994222  -1.16619, 5.42166  19.0041 -1.02729 -1.15425,-3.01798 0.461967 -5.79344  1.44671
8, 8.71111  11.6297 0.705534 0.888365, 8.63113  11.7011 0.722283  0.87916, 8.67413   11.667 0.717018 0.879675,-0.424544  0.320912   1.62773 -0.978248
11, 17.8039  5.73239 0.767652 -1.02234, 17.5735  5.71112 0.772259 -1.03718, 17.6878  5.67048 0.786221 -1.03321,-0.652383  -1.08008   2.41882    1.0628
14,  2.83513   8.06113  0.812975 -0.866144,  2.52022   7.92525  0.857509 -0.808018,  2.62431   7.96432  0.840917 -0.819643,-7.43593 -1.20088  3.43699 -5.36874
15,  5.74856   18.1125 -0.624999 -0.719579,  5.92486   17.8807 -0.583084 -0.781188,  5.81879   17.9104 -0.596068 -0.779917, 1.22168 -1.11598 -4.62898  8.38512
17, 6.18289  17.8731 -1.14015 -1.15199,  5.9361  18.0357 -1.09582 -1.12364, 5.99824  17.9405 -1.10602 -1.11566,-2.98639 0.377285 -2.99404 -3.15429
19, 7.54875  13.5942  1.18179 -0.64807,  7.85571   13.3219   1.18397 -0.643652,  7.79256   13.4473   1.17776 -0.626023,  3.22983  -1.08053 -0.340827  -3.40199
20,  4.32484   8.08167 -0.788974 -0.780877,  4.14414   7.75231 -0.808527 -0.782951,  4.21407    7.7942 -0.785392 -0.792485, -2.56132  -3.55716 -0.453993    1.4866
21,  3.12141   4.19657 -0.659473 -0.991615,   2.5885    4.0974 -0.715023 -0.988185,  2.68596    4.0842 -0.704589  -0.98717, -13.9506  -2.67769   6.84118 -0.448212
5,  13.6561   6.14242 -0.795208  -1.16552,  12.9713   6.34224 -0.745362  -1.21965,  13.1568    6.2873 -0.787767  -1.19779,  -3.6567   2.35877 -0.935795   2.76891
6,  3.70746    1.3603  0.946999 -0.951825,  3.46313    1.6701  0.891514 -0.904072,  3.52639    1.5851   0.92249 -0.923853,-4.88403  16.5259 -2.58807 -2.93877
7, 5.55403  18.8788 -1.09047 -1.13779, 5.15549  19.1773 -1.09465 -1.05958, 5.20757  19.1298 -1.06895 -1.09571,-6.23788  1.32976  -1.9732  -3.6983
8, 8.73463  11.6593 0.705534 0.888365, 9.30145  11.3839 0.713888 0.835279, 9.16559  11.4541 0.715162 0.852196, 4.93384 -1.75991   1.3646 -4.07144
11, 17.8295  5.69832 0.767652 -1.02234,  17.7222   5.94278  0.735222 -0.949028,  17.7202   5.87388  0.754703 -0.981142,-0.613031   3.08104  -1.68695  -4.02996
14,  2.86223   8.03226  0.812975 -0.866144,  3.44988   7.79577  0.855427 -0.865018,  3.27034   7.82748  0.849988 -0.847704, 14.2587 -2.54947  4.55278 -2.12892
15,  5.72772   18.0885 -0.624999 -0.719579,  5.78261   18.5368 -0.629399 -0.631076,  5.78622   18.3902 -0.616669 -0.687844, 1.02121  1.66779 -1.33269 -4.41026
17, 6.14488  17.8347 -1.14015 -1.15199, 6.26132   18.309  -1.0827 -1.19534, 6.19384  18.2175 -1.09157 -1.16485, 0.79664  2.14655 -4.26127  1.11581
19, 7.58814  13.5726  1.18179 -0.64807,  7.65955   13.6374    1.2067 -0.725573,  7.69839   13.5897   1.19562 -0.687521, 1.45293 0.126153  1.17089  6.08736
20,  4.29854   8.05564 -0.788974 -0.780877,  4.35469   7.96353 -0.791761 -0.851267,  4.31712   7.91934 -0.789307 -0.828789, 0.432205  -1.69201 0.0422157   6.13575
21,  3.09943   4.16352 -0.659473 -0.991615,  3.02808    4.3787 -0.661295  -1.04857,  2.94585   4.30487 -0.677784  -1.02508,-4.9551 3.39497 2.77667 3.37451
5,  13.6296   6.10357 -0.795208  -1.16552,  13.5656   6.08605 -0.815246   -1.1581,  13.4676   6.12245 -0.804693  -1.17328,-1.18866 0.309388  1.19281  0.66618
6,  3.73903   1.32857  0.946999 -0.951825,  3.87327   1.48182  0.988792 -0.951423,  3.80222   1.49809  0.963507 -0.940902, 1.69008  12.7594  1.74328 -1.14762
7, 5.51768  18.8409 -1.09047 -1.13779, 5.32867  18.8985 -1.12426  -1.2404, 5.29327  18.9421 -1.10312 -1.18516,-4.06702 0.537232  1.15964  4.16297
8, 8.75815  11.6889 0.705534 0.888365, 9.16639  11.8081 0.670555 0.875783, 9.17149  11.7348  0.68759 0.866816, 4.71951 0.392503 -2.54328 -2.42578
11, 17.8551  5.66424 0.767652 -1.02234, 17.9372  5.26382 0.682693 -1.01252, 17.8939  5.39375 0.710223 -1.00061,0.217215 -4.77543 -7.48115 -2.12561
14,  2.88933   8.00339  0.812975 -0.866144,  3.02362   7.77525  0.758595 -0.852016,  3.08537   7.78064  0.793468 -0.850372, 6.78498 -2.78319 -2.39939 -1.82088
15,  5.70689   18.0645 -0.624999 -0.719579,  5.72674   18.0141 -0.677455 -0.636071,  5.73539   18.0937 -0.654242 -0.655892,0.499331 0.161461  4.67894 -8.85062
17, 6.10688  17.7962 -1.14015 -1.15199, 5.83241  17.7149 -1.13772 -1.14724, 5.90551  17.8194 -1.12014 -1.15403,-3.29746 0.129974 -1.75572 0.176331
19, 7.62754   13.551  1.18179 -0.64807,  7.82789    13.182   1.20428 -0.563055,  7.80772   13.2689   1.20098 -0.610647, 2.36228 -2.08161  1.62441 -5.77467
20,  4.27224   8.02961 -0.788974 -0.780877,  4.54317   7.96841  -0.70777 -0.833594,  4.48651   7.95114 -0.738882 -0.831749,  5.01522 -0.977373  -6.34898   6.51477
21,  3.07745   4.13046 -0.659473 -0.991615,   3.1612   4.31691 -0.622056 -0.984391,  3.10774   4.30658 -0.643312 -0.999925,0.984121  4.26392 -2.45064 0.838077
5,  13.6031   6.06472 -0.795208  -1.16552,  13.7241   5.97143 -0.761739  -1.13522, 13.6604   5.9967 -0.77811 -1.14977,0.421007 -1.12149 -2.15017 -1.35114
6,  3.77059   1.29684  0.946999 -0.951825,  3.59322   1.29105  0.945616 -0.964849,  3.64747   1.33056  0.952419 -0.955725,-3.26535  2.59948 0.572369 0.409726
7, 5.48133  18.8029 -1.09047 -1.13779, 5.75109  18.7195 -1.11257 -1.09316, 5.63972  18.7609 -1.10889 -1.12832,  2.88966 -0.223662   1.68955  -0.83227
8, 8.78167  11.7185 0.705534 0.888365, 8.78997  11.6536 0.687672 0.924775, 8.88103  11.6785 0.687589 0.902622,  1.13146 -0.341957   -2.5435   1.60482
11, 17.8807  5.63016 0.767652 -1.02234,  18.0907   5.83831  0.786808 -0.923712,  18.0519   5.73085  0.757577 -0.953023,0.957391  1.78849 -1.31248 -6.78036
14,  2.91643   7.97451  0.812975 -0.866144, 3.09098  8.11821  0.74497 -0.81822,  3.09558   8.03588  0.763492 -0.830454, 6.14279 0.769587  -6.0866 -4.12058
15,  5.68606   18.0405 -0.624999 -0.719579,  5.46539   18.3119 -0.634502 -0.747871,   5.5213   18.2577 -0.642074 -0.712707, -2.89747   1.20375   2.73211 -0.955036
17, 6.06887  17.7578 -1.14015 -1.15199, 5.48342  17.2119 -1.18088 -1.18105, 5.56993    17.34 -1.15773  -1.1708,-8.22134 -2.35311  1.54155   1.6324
19, 7.66693  13.5294  1.18179 -0.64807, 7.80395  13.4789  1.18823 -0.67707,  7.81379   13.4269    1.1931 -0.651669,   1.9155 -0.757385  0.956953  0.555256
20,  4.24595   8.00358 -0.788974 -0.780877,  4.30518   8.07522 -0.872727  -0.78552,   4.3402   8.04113 -0.821623 -0.803159, 2.21994 0.469093  4.13819  2.85347
21,  3.05547   4.09741 -0.659473 -0.991615,   3.1728    4.0538 -0.683631 -0.940416,  3.15325   4.10332 -0.668219 -0.963175,  3.2002 0.144364  1.32627 -2.86802
